Distance,Velocity
0,1.965097427
642.8256771,2.304757118
1285.651354,2.44900465
1928.477031,2.221276522
2571.302708,1.975606203
3214.128386,2.123912573
3856.954063,1.583235621
4499.77974,1.530600667
5142.605417,1.420800209
5785.431094,1.500737429
6428.256771,2.051674128
7071.082448,2.786328793
7713.908125,3.336107492
8356.733803,3.778975964
8999.55948,9.241740227
9642.385157,29.68417358
10285.21083,74.95431519
10928.03651,130.0299072
11570.86219,152.5881653
12213.68787,192.1632385
12856.51354,223.3697968
13499.33922,245.119751
14142.1649,266.3522339
14784.99057,276.6499329
15427.81625,291.9332581
16070.64193,304.6696167
16713.46761,315.1065674
17356.29328,323.5130005
17999.11896,327.9008789
18641.94464,334.9210205
19284.77031,340.4519348
19927.59599,346.7126465
20570.42167,352.4434204
21213.24734,356.0708008
21856.07302,361.90448
22498.8987,367.969696
23141.72438,372.944519
23784.55005,375.4948425
24427.37573,379.7470093
25070.20141,383.4364014
25713.02708,387.6867371
26355.85276,391.4660339
26998.67844,393.0227661
27641.50412,396.0930786
28284.32979,398.7197266
28927.15547,400.6327209
29569.98115,401.2198486
30212.80682,401.9105225
30855.6325,402.1207275
31498.45818,402.4412842
32141.28386,403.1201477
32784.10953,403.8322144
33426.93521,404.3654175
34069.76089,404.9232788
34712.58656,404.9343872
35355.41224,403.9855957
35998.23792,403.7800903
36641.0636,403.8966064
37283.88927,402.9342651
37926.71495,403.034729
38569.54063,402.4160767
39212.3663,402.2048645
39855.19198,402.1442871
40498.01766,401.8491211
41140.84334,402.1071167
41783.66901,401.3867798
42426.49469,399.6428223
43069.32037,398.7383423
43712.14604,396.2357178
44354.97172,393.9840698
44997.7974,392.0527344
45640.62308,389.1115723
46283.44875,387.2807007
46926.27443,381.9127197
47569.10011,375.5311279
48211.92578,368.4555664
48854.75146,358.1972656
49497.57714,352.5175171
50140.40282,343.7283325
50783.22849,334.8135071
51426.05417,324.9427185
52068.87985,316.644989
52711.70552,312.918335
53354.5312,305.3065796
53997.35688,297.8285522
54640.18255,287.9862366
55283.00823,276.6931763
55925.83391,269.8121643
56568.65959,255.3522644
57211.48526,240.7562561
57854.31094,225.5490875
58497.13662,206.2827454
59139.96229,193.7661438
59782.78797,169.073761
60425.61365,126.1300354
61068.43933,102.3724213
61711.265,82.66177368
62354.09068,75.62124634
62996.91636,66.14807129
63639.74203,58.07942963
64282.56771,49.3253212
64925.39339,44.66724777
65568.21907,33.99171066
66211.04474,24.18566513
66853.87042,14.85364342
67496.6961,7.079511166
68139.52177,4.78147316
68782.34745,2.860887527
69425.17313,2.194152355
70067.99881,2.073525906
