Temperature,Depth
-28.11735941,98.97172237
-28.11735941,195.3727506
-28.15403423,295.6298201
-28.26405868,399.7429306
-28.41075795,503.8560411
-28.5207824,604.1131105
-28.63080685,700.5141388
-28.63080685,796.9151671
-28.37408313,904.8843188
-28.04400978,997.4293059
-27.45721271,1101.542416
-26.28361858,1201.799486
-25.03667482,1298.200514
-23.31295844,1410.025707
-21.29584352,1510.282776
-18.94865526,1614.395887
-16.56479218,1706.940874
-13.22738386,1826.478149
-1.784841076,2173.521851
